Vardas              Pavarde             Galutinis (Vid.)
Vardas35909         Pavarde35909        1.08
Vardas482011        Pavarde482011       1.08
Vardas912664        Pavarde912664       1.08
Vardas709227        Pavarde709227       1.08
Vardas64087         Pavarde64087        1.08
Vardas364378        Pavarde364378       1.08
Vardas197367        Pavarde197367       1.08
Vardas172097        Pavarde172097       1.08
Vardas817972        Pavarde817972       1.08
Vardas739812        Pavarde739812       1.08
Vardas691743        Pavarde691743       1.16
Vardas466540        Pavarde466540       1.16
Vardas91402         Pavarde91402        1.16
Vardas367133        Pavarde367133       1.16
Vardas892227        Pavarde892227       1.16
Vardas33094         Pavarde33094        1.16
Vardas286859        Pavarde286859       1.16
Vardas204166        Pavarde204166       1.16
Vardas987473        Pavarde987473       1.16
Vardas199014        Pavarde199014       1.16
Vardas888178        Pavarde888178       1.16
Vardas821334        Pavarde821334       1.16
Vardas203036        Pavarde203036       1.16
Vardas380438        Pavarde380438       1.16
Vardas424254        Pavarde424254       1.16
Vardas629771        Pavarde629771       1.16
Vardas282890        Pavarde282890       1.16
Vardas535682        Pavarde535682       1.16
Vardas76285         Pavarde76285        1.24
Vardas311032        Pavarde311032       1.24
Vardas529248        Pavarde529248       1.24
Vardas623670        Pavarde623670       1.24
Vardas632909        Pavarde632909       1.24
Vardas881745        Pavarde881745       1.24
Vardas964584        Pavarde964584       1.24
Vardas835284        Pavarde835284       1.24
Vardas212785        Pavarde212785       1.24
Vardas642537        Pavarde642537       1.24
Vardas753787        Pavarde753787       1.24
Vardas810607        Pavarde810607       1.24
Vardas487041        Pavarde487041       1.24
Vardas564407        Pavarde564407       1.24
Vardas830851        Pavarde830851       1.24
Vardas904401        Pavarde904401       1.24
Vardas145873        Pavarde145873       1.24
Vardas258750        Pavarde258750       1.24
Vardas508894        Pavarde508894       1.24
Vardas855429        Pavarde855429       1.24
Vardas79663         Pavarde79663        1.24
Vardas5644          Pavarde5644         1.24
Vardas462665        Pavarde462665       1.24
Vardas808858        Pavarde808858       1.24
Vardas47860         Pavarde47860        1.24
Vardas519909        Pavarde519909       1.24
Vardas445544        Pavarde445544       1.24
Vardas318396        Pavarde318396       1.24
Vardas963051        Pavarde963051       1.24
Vardas628178        Pavarde628178       1.32
Vardas118488        Pavarde118488       1.32
Vardas161645        Pavarde161645       1.32
Vardas860920        Pavarde860920       1.32
Vardas888569        Pavarde888569       1.32
Vardas988945        Pavarde988945       1.32
Vardas266356        Pavarde266356       1.32
Vardas729955        Pavarde729955       1.32
Vardas394415        Pavarde394415       1.32
Vardas995222        Pavarde995222       1.32
Vardas801416        Pavarde801416       1.32
Vardas34059         Pavarde34059        1.32
Vardas998188        Pavarde998188       1.32
Vardas17283         Pavarde17283        1.32
Vardas961042        Pavarde961042       1.32
Vardas302077        Pavarde302077       1.32
Vardas677955        Pavarde677955       1.32
Vardas660676        Pavarde660676       1.32
Vardas635790        Pavarde635790       1.32
Vardas238836        Pavarde238836       1.32
Vardas902957        Pavarde902957       1.32
Vardas584087        Pavarde584087       1.32
Vardas222968        Pavarde222968       1.32
Vardas34645         Pavarde34645        1.32
Vardas69024         Pavarde69024        1.32
Vardas143202        Pavarde143202       1.32
Vardas728879        Pavarde728879       1.32
Vardas412219        Pavarde412219       1.32
Vardas605243        Pavarde605243       1.32
Vardas782020        Pavarde782020       1.32
Vardas663669        Pavarde663669       1.32
Vardas764518        Pavarde764518       1.32
Vardas139558        Pavarde139558       1.32
Vardas270522        Pavarde270522       1.32
Vardas33221         Pavarde33221        1.32
Vardas925885        Pavarde925885       1.32
Vardas800096        Pavarde800096       1.32
Vardas511642        Pavarde511642       1.32
Vardas248891        Pavarde248891       1.32
Vardas811839        Pavarde811839       1.32
Vardas110072        Pavarde110072       1.32
Vardas870701        Pavarde870701       1.32
Vardas368145        Pavarde368145       1.32
Vardas67941         Pavarde67941        1.32
Vardas138055        Pavarde138055       1.32
Vardas600611        Pavarde600611       1.32
Vardas598310        Pavarde598310       1.32
Vardas130377        Pavarde130377       1.32
Vardas226163        Pavarde226163       1.32
Vardas959401        Pavarde959401       1.32
Vardas345064        Pavarde345064       1.32
Vardas753418        Pavarde753418       1.32
Vardas536032        Pavarde536032       1.32
Vardas297155        Pavarde297155       1.32
Vardas235424        Pavarde235424       1.32
Vardas50133         Pavarde50133        1.32
Vardas214271        Pavarde214271       1.32
Vardas519366        Pavarde519366       1.32
Vardas198181        Pavarde198181       1.32
Vardas848452        Pavarde848452       1.32
Vardas577191        Pavarde577191       1.32
Vardas397983        Pavarde397983       1.32
Vardas255729        Pavarde255729       1.32
Vardas411555        Pavarde411555       1.32
